Name,DOB,SSN,Zip,Age,Workclass,fnlwgt,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
Alyse Wraith,11/24/1968,830-16-6009,64594,23,Private,292023,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
Lonnie Albiston,9/7/1997,614-83-1150,67967,32,Private,94041,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,Ireland,<=50K
Daile Blunsen,8/6/1966,713-91-5033,15389,49,Self-emp-inc,187563,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
Kary Cleugher,11/25/1969,516-42-1546,4034,36,Private,176101,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,2174,0,60,United-States,<=50K
Eleonore Warder,12/31/1966,476-53-2751,67045,36,Private,749105,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,36,United-States,<=50K
Aldric Godsmark,1/2/1996,616-15-6433,4291,41,,230020,5th-6th,3,Married-civ-spouse,,Husband,Other,Male,0,0,40,United-States,<=50K
Roxine Nuttall,2/25/1981,126-41-5019,59966,21,Private,216070,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,46,United-States,>50K
Hastie Sellen,2/3/1959,670-07-8871,84126,54,Self-emp-not-inc,105010,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Daven Polamontayne,4/2/1969,894-22-0789,2895,43,Private,198203,Some-college,10,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
Dorey McCuis,4/2/2000,288-87-9252,9953,35,Local-gov,215419,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Pamella Stonebridge,3/31/1985,513-81-5841,63061,31,Private,120460,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,>50K
Clayborne Pullan,11/6/1982,544-15-4606,42774,46,Private,199316,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,40,India,<=50K
Marietta Brood,4/13/1985,575-63-4219,84268,46,Private,146919,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
Ketti Paffley,7/3/1984,732-34-9428,20288,56,Private,174744,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
Ladonna Piggin,9/16/1988,197-57-3106,80990,45,,189564,Masters,14,Married-civ-spouse,,Wife,White,Female,0,0,1,United-States,<=50K
Cherish Caldaro,9/11/1953,199-71-1909,67914,21,Private,249957,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
Jonathon Tomaini,12/16/1962,754-95-6424,93387,51,Private,146574,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
Hewie Villa,4/12/1967,439-49-0815,80382,47,State-gov,156417,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Male,0,0,20,United-States,<=50K
Thaxter Keepe,1/30/1966,700-65-6769,13913,42,Private,236110,5th-6th,3,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,Puerto-Rico,<=50K
Monro Couttes,7/4/1962,747-52-1696,89934,19,Private,63363,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
Dominic Merricks,9/10/2005,263-37-7434,22672,25,Private,190107,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
Chad Oxnam,11/11/1985,162-31-0054,3418,37,Private,126569,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60,United-States,>50K
Allix Asquith,7/22/2000,299-45-2311,8288,35,Private,176756,12th,8,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
Arty Swatridge,8/1/2002,648-75-2421,43602,40,Private,115161,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,United-States,<=50K
Catriona Baldini,4/13/1966,711-53-9180,26532,57,Self-emp-not-inc,138892,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United-States,<=50K
Nehemiah Donizeau,9/20/1977,876-40-9657,43156,38,Private,256864,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
Sara-ann Blade,4/29/1976,319-42-2405,93680,48,Private,265083,10th,6,Divorced,Sales,Not-in-family,White,Female,0,0,38,United-States,<=50K
Hastie Townend,12/25/1959,859-47-1773,10362,34,Private,249948,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
Mei Willoughway,3/18/2010,291-17-5753,42814,46,Federal-gov,31141,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
Jarrett Spire,1/24/1999,198-18-1194,56608,30,Private,164190,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,38,,<=50K
Cymbre Studholme,4/10/1971,294-15-7763,56318,45,State-gov,67544,Masters,14,Divorced,Protective-serv,Not-in-family,White,Male,0,0,50,United-States,<=50K
Sasha Snoad,3/4/1961,787-29-7440,61678,32,Self-emp-not-inc,174789,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
Jillane Baldung,11/13/2005,419-77-7151,15495,35,Private,199753,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,48,United-States,<=50K
Adrianne Fripp,10/22/1950,381-14-0830,37215,62,Private,122246,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,8614,0,39,United-States,>50K
Bathsheba Cape,5/26/1969,460-31-1650,43050,56,,188166,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,<=50K
Jarret Bigmore,4/24/1988,333-93-3960,89502,50,Private,96586,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
Latrina Oseland,3/15/2010,391-22-8911,41553,25,Private,189590,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
Jeanelle Coultous,12/17/2001,514-36-0979,64492,41,Private,140590,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,33,United-States,<=50K
Ranee Eirwin,2/14/1970,702-40-7564,38804,35,Private,255702,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,27,United-States,<=50K
Celestyn Brickstock,12/17/1971,368-58-1159,9388,33,Private,260782,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,41,United-States,>50K
Marjory Glencrosche,1/27/1988,896-01-8198,65358,38,Private,169926,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,40,United-States,>50K
Olympie Nise,10/26/1993,783-63-5719,82440,37,State-gov,151322,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
George Deackes,5/6/1975,879-80-3842,92150,56,Private,192869,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
Kristen Giannasi,5/18/2006,425-53-4591,49945,19,Private,93604,7th-8th,4,Never-married,Craft-repair,Own-child,White,Male,0,1602,32,United-States,<=50K
Tallia Gregorowicz,7/5/2005,228-08-5066,5877,31,Private,86958,9th,5,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
Gareth Batisse,5/18/1970,851-62-6965,74387,53,Local-gov,228723,HS-grad,9,Divorced,Craft-repair,Not-in-family,Other,Male,0,0,40,,>50K
Glenn Ferrino,12/4/1996,321-22-5284,91087,33,Private,192644,HS-grad,9,Separated,Handlers-cleaners,Unmarried,White,Male,0,0,35,Puerto-Rico,<=50K
Trixie Schout,3/2/1994,605-78-9822,92440,72,Private,284080,1st-4th,2,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Kirsti Gee,8/20/1990,329-78-0485,57946,54,Private,43269,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
Verile Otterwell,12/26/1976,554-77-7710,62891,30,Private,190040,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
Nicoline MacPaike,12/20/1992,713-83-5699,5860,51,Private,306108,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
Zsazsa Seares,2/17/2009,292-48-1168,7785,30,Private,220148,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1848,50,United-States,>50K
Mattheus Padgett,6/7/1992,113-95-3610,44075,30,Private,381645,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
Daisi Kissack,4/25/1961,250-91-6674,75641,32,Private,216361,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,16,United-States,<=50K
Magda Carmichael,11/25/1999,755-69-7597,68566,30,Private,213722,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,>50K
Fleurette Fellgate,10/24/1985,512-87-2513,81539,35,Private,112271,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
Doralynn Friett,12/9/1993,668-41-1008,94039,40,Private,208277,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,44,United-States,>50K
Vladamir Worsom,3/31/1956,354-26-8360,65576,38,State-gov,352628,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
Krissie Simison,6/24/1973,714-22-8219,82219,19,Private,129620,10th,6,Never-married,Other-service,Other-relative,White,Female,0,0,30,United-States,<=50K
Gery Twittey,3/3/1968,401-72-0794,30834,32,Private,249550,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,44,United-States,<=50K
Evanne McTrustrie,10/5/1977,604-65-8816,20776,49,Private,178749,Masters,14,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Craig Fulham,4/21/1952,538-93-8541,33574,76,,173542,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,10,United-States,<=50K
Yancy Caskie,10/24/1986,524-70-0252,24143,60,Private,167670,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
Tommy Tebboth,4/6/1967,228-10-3244,56529,60,Private,81578,9th,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
Trstram Whiteford,11/22/1951,129-10-3997,68313,55,Private,160662,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,>50K
Micki Spensley,10/4/1990,151-61-8026,72390,41,Private,163322,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,30,,<=50K
Hugo Delea,10/28/1999,433-82-4299,84334,24,Private,152189,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
Tammie Adolfson,1/8/1983,293-73-5592,78976,53,Private,106176,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7298,0,60,United-States,>50K
Hernando Carpenter,12/20/1959,355-12-1211,63248,69,State-gov,159191,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,810,38,United-States,<=50K
Joycelin Stonhewer,8/12/1983,334-88-5401,60449,71,,250263,Some-college,10,Married-civ-spouse,,Husband,White,Male,3432,0,30,United-States,<=50K
Koenraad Routham,2/1/2003,445-33-4661,37320,41,Private,78410,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
Lacie Sparway,11/21/1966,170-61-3457,70273,32,Private,131379,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
Shandee Gregr,7/7/1998,895-95-5532,70487,45,Private,166929,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Des Stanlick,7/1/1960,389-38-5522,81622,59,Private,380357,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
Christopher Howells,2/19/1987,599-19-5451,6568,31,Private,79190,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K
Odella Slemmonds,7/26/2000,590-67-9484,96037,40,Private,342164,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,<=50K
Emelyne Akrigg,12/6/1958,326-66-4103,87187,44,Private,182616,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
Reed Graeber,11/3/1976,437-58-6244,71564,63,Private,339473,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
Hollis Lassells,2/14/1970,372-24-4242,28645,31,Local-gov,381153,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,15024,0,56,United-States,>50K
Debbie Fritchley,11/8/1971,715-16-4381,14603,51,Private,300816,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Male,0,0,20,United-States,<=50K
Alix Checcuzzi,4/1/1982,447-48-5637,21765,51,Private,240988,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
Trista Flanaghan,7/6/2007,331-03-9073,98893,23,Private,149224,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
Thornton Gapp,8/27/1959,196-19-9190,52262,49,Private,168216,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
Cary Corain,11/9/1977,160-85-9711,2482,56,Private,286487,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,45,United-States,<=50K
Ara Bracknell,7/24/1965,695-54-8107,59942,39,Private,305597,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Mignonne Bountiff,6/15/2009,423-72-6195,17908,39,Self-emp-not-inc,109766,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
Frederigo Oulett,6/29/1954,663-51-0213,42189,30,Self-emp-not-inc,188798,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
Sandro Cullingworth,5/5/1954,778-70-1891,49733,43,Self-emp-not-inc,240170,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Germany,<=50K
Franny Scamaden,11/19/2002,576-12-5982,76576,31,Private,459465,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
Glenine Gisburne,9/3/1991,392-26-1320,92125,44,Local-gov,162506,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
Domini Clough,3/30/1954,736-82-7093,50383,43,Self-emp-not-inc,145441,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,>50K
Natty Hancorn,11/24/2006,617-67-5755,53282,37,Federal-gov,129573,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,72,,>50K
Archibald Brannigan,2/19/1981,837-08-3939,91254,41,Private,27444,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,46,United-States,>50K
Fredrick Brittles,6/19/1957,552-57-1564,83590,43,Private,195258,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
Gonzales Bartlosz,6/30/1955,147-35-3599,17157,47,State-gov,55272,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Caroline Werrett,9/5/1973,115-54-4591,31380,38,Self-emp-not-inc,164526,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,>50K
Delila Quinsee,4/6/1951,442-78-1070,88557,46,Private,27802,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Roderick Gruczka,1/26/1995,414-63-1422,64329,19,State-gov,165289,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
Marge Hugk,11/11/1978,216-07-6767,17634,19,Private,274657,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,50,Guatemala,<=50K
Duncan Dene,11/3/1954,821-96-9298,39560,24,Private,317175,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
Opalina Agastina,5/27/1963,699-15-7827,37575,39,Self-emp-inc,163237,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,<=50K
Dionisio Hedling,5/26/1998,869-49-1189,62365,37,Private,170408,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,30,United-States,<=50K
Yurik Unsworth,3/10/1980,756-59-1126,26613,28,,55950,Bachelors,13,Never-married,,Own-child,Black,Female,0,0,40,Germany,<=50K
Bartholomeus Sedgeman,1/19/1980,473-44-3404,67817,40,Private,76625,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
Evita O' Clovan,11/6/1963,846-85-6976,51368,27,Private,366066,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
Alfi McCallion,7/5/1972,529-11-7298,76915,22,Private,349368,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
Kessiah Prate,8/30/1997,185-67-1974,62214,21,Private,286824,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,<=50K
Amelia Thurman,11/17/1978,817-38-8771,74598,32,Private,373263,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
Fransisco Stone Fewings,6/8/2005,899-61-3200,34795,20,Private,161978,HS-grad,9,Separated,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
Herbie Gibb,9/13/1997,438-01-2721,90234,45,Private,543922,Masters,14,Divorced,Transport-moving,Not-in-family,White,Male,14344,0,48,United-States,>50K
Willy Rubanenko,6/15/2007,621-04-9158,88962,46,Local-gov,109089,Prof-school,15,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
Rozanne Bettridge,1/23/1955,640-30-6865,95902,46,Private,110151,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
Georgie Smardon,5/13/1999,249-49-0083,25213,26,Private,34110,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,44,United-States,<=50K
Dulce Olohan,6/29/1964,241-17-2727,55051,47,Self-emp-not-inc,118506,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,60,United-States,<=50K
Imojean Cranmore,5/28/1979,172-42-3925,50220,22,Private,117789,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,United-States,<=50K
Celka Varker,12/1/1963,179-17-7619,84292,34,Self-emp-not-inc,353881,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
Tadd Madre,11/18/1996,469-65-3304,73765,49,Private,200471,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,<=50K
Lowell Van den Broek,11/20/1951,299-29-0460,13177,20,Private,258517,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K
Ainslie Kaminski,6/1/1989,354-59-9420,10741,28,Private,190367,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
Ferris Tunna,11/23/1981,243-02-6135,41331,30,Private,174704,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
Kevyn Davidson,9/4/1973,680-53-2664,22181,23,Private,179413,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Herold Nowell,10/3/2006,770-40-8014,48233,20,Private,329530,9th,5,Never-married,Priv-house-serv,Own-child,White,Male,0,0,40,Mexico,<=50K
Hendrik Chessum,2/14/2011,569-28-0432,42064,31,Private,273818,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,Mexico,<=50K
Delbert Bridell,5/17/1999,226-43-3773,90908,46,Private,256522,1st-4th,2,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,Puerto-Rico,<=50K
Marje Janikowski,5/27/1975,514-87-5500,49037,42,Private,196001,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Alysia Anscott,3/6/1994,709-08-4343,69736,60,Self-emp-not-inc,282660,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Christabel Whisson,5/5/1954,139-18-8688,90586,30,Private,72630,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
Alta Hizir,11/8/1975,486-41-9373,91853,27,Private,50295,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,United-States,<=50K
Stewart Freear,1/14/2004,142-86-4102,18302,20,Private,203240,9th,5,Never-married,Sales,Own-child,White,Female,0,0,32,United-States,<=50K
Gustave Matessian,3/12/2012,387-06-4773,43036,56,Self-emp-not-inc,172618,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,>50K
Neila Backshell,1/2/1984,456-18-1589,28601,41,Private,202168,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
D'arcy Barfoot,9/26/1965,785-72-8588,22449,61,Private,176839,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Issy Heaps,12/28/1983,834-67-3614,56957,47,Private,176140,HS-grad,9,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,>50K
Tiphany McInally,9/13/1986,213-76-2462,5965,60,Private,39952,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2228,0,37,United-States,<=50K
Avigdor Nulty,8/25/1998,799-30-1727,50066,33,Private,292465,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
Margery Campes,6/7/1953,746-16-6893,81161,40,,161285,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,0,25,United-States,<=50K
Irma Moreman,5/20/1979,280-87-8974,58265,48,Private,355320,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Canada,>50K
Conroy Dunnaway,6/6/1976,296-31-4684,54683,56,Private,182460,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
Thorny Bennis,7/17/1990,686-04-5370,38539,50,Private,69345,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,55,United-States,>50K
Maurita Prout,12/7/2008,813-31-5138,35088,57,Self-emp-not-inc,102058,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
Coletta Laphorn,11/30/1977,874-17-3603,58209,20,Private,165804,Some-college,10,Never-married,Adm-clerical,Own-child,Other,Female,0,0,40,United-States,<=50K
Moshe Truse,8/6/1952,471-52-6147,26625,46,Private,318259,Assoc-voc,11,Divorced,Tech-support,Other-relative,White,Female,0,0,36,United-States,<=50K
Angelle Feore,5/30/1998,436-05-7392,18386,21,Private,117606,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
Beatrisa Vase,2/7/1960,858-51-4667,14842,37,Private,170718,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
Bo Caughan,10/18/1991,348-44-7038,43775,42,Private,413297,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
Shina Record,1/5/1981,668-35-8653,88787,20,Private,190457,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
Karel Egentan,3/11/2008,327-01-7127,16039,54,Private,88278,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K
Onfre Yearne,2/25/1974,677-13-1999,33654,32,Local-gov,217296,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,4064,0,22,United-States,<=50K
Daryl Pithie,11/28/2006,881-19-7688,85215,62,,97231,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,0,1,United-States,<=50K
Tonie Christol,9/8/1957,141-68-0396,16391,50,Private,123429,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Caresse Connaughton,10/22/2006,456-34-4523,14737,49,Federal-gov,420282,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
Rozalie Clardge,5/16/1967,387-41-7629,8632,48,Private,498325,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
Rosaline Longcake,9/13/1954,252-52-2484,45135,24,Private,248533,Some-college,10,Never-married,Sales,Other-relative,Black,Female,0,0,40,United-States,<=50K
Maxy Tapenden,1/18/1955,303-90-0238,17898,46,Private,137354,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K
Micaela Abbatucci,2/1/1991,558-96-0686,62519,42,Private,272910,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
Benji Elder,8/5/1971,639-93-7164,40210,52,Self-emp-inc,206054,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Dale Tallant,7/23/1999,763-09-2573,93395,58,Local-gov,92141,Assoc-acdm,12,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
Patten Lube,5/16/1969,475-60-2560,90366,37,Private,163199,Some-college,10,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
Mose Pinshon,12/8/1977,679-89-7203,23180,34,Private,195860,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Urbano Whitty,5/11/1978,419-98-5034,31184,26,Private,115717,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K
Ramon Varty,2/6/1995,404-10-1509,78787,18,Private,120029,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,20,United-States,<=50K
Tomasine Titcumb,8/10/2006,597-37-1728,72182,33,Private,221762,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Christie Signorelli,3/29/2003,196-37-6868,88777,41,Private,342164,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,15,United-States,<=50K
Theodor Smithers,3/13/1981,566-23-6114,32210,21,Private,176356,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
Cyndi Bayman,1/21/2004,356-75-1313,64753,23,Private,133239,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
Bidget Fontelles,3/15/1990,538-64-9051,58433,26,Federal-gov,169101,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
Karita Dinnis,10/1/1953,198-22-7538,86078,33,Private,159442,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
Garrick Oboy,7/15/1980,401-05-5553,1614,24,Private,174461,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,45,United-States,<=50K
